번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
9755013,사주에 목 토 많으면 용신 멀루 잡아?,ㅇㅇ(218.238),2019-01-11,144.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=9755013&search_pos=-9725549&s_type=search_subject_memo&s_keyword=사주&page=11,금수?,,,,,,
1962295,복권 되는 사주도 있냐,ㅇㅇ(223.33),2022-06-06,79.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1962295&search_pos=-1960386&s_type=search_subject_memo&s_keyword=사주&page=18,ㅇㅇ?,,,,,,
8273064,신약 사주는 본능적으로 인성일간에 끌리는 건가.,역갤러(112.173),2025-02-09,246.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8273064&search_pos=-8230386&s_type=search_subject_memo&s_keyword=사주&page=14,나 수일간인데 항상 금일간이 호감이라서,,,,,,
2016150,여긴 사주갤 맞음? 뭔 사주 얘기는 안하고,ㅇㅇ(117.111),2022-06-13,22.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2016150&search_pos=-2010386&s_type=search_subject_memo&s_keyword=사주&page=6,개헛소리만 하나,,,,,,
11531524,난 년이 빻으면 실망함,ㅇㅇ(175.223),2019-08-30,70.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=11531524&search_pos=-11495549&s_type=search_subject_memo&s_keyword=사주&page=5,"연예인이나 아는 분 사주 궁금해서 찾아보는데
년 넣을 때 내 기준 별로인 거 예를들어 기축이나 토로 간여지동 이런거 나오면 실망함
정유나 신사 이런거 나오면 기본은 깔고 가는 거 같음",,,,,,
2606551,인사신 삼형살 띠궁합 안 좋은 거야?,ㅇㅇ(118.235),2022-09-07,437.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2606551&search_pos=-2599934&s_type=search_subject_memo&s_keyword=궁합&page=3,"철학관 가면 뱀띠 원숭이띠 남자는 꼭 피하라더라
- dc official App",,,,,,
2102280,사주 봐조~~!!!!,사뿐이,2022-06-26,47.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2102280&search_pos=-2100386&s_type=search_subject_memo&s_keyword=사주&page=17,임신 병오 계유  케,,,,,,
453390,궁예질 하는거 대부분 자기 입장에서 판단하는거임,ㅇㅇ(106.102),2021-11-03,62.0,3.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=453390&search_pos=-460386&s_type=search_subject_memo&s_keyword=사주&page=17,"밥을 서서먹는지 누워서 먹는지
그 특성을 알려면 일단 밥을 누워서도 먹고
서서도 먹어본 애들만 알거 아니야
그니까 사람 마음 읽는것도 같은 사람이니까
가능한거야 그럼 어디서 차이가 나
감정은 똑같지만 결국 처세에서 차이가 나
사주학적으로 처세는 뭐야
길신이야 그래서 겉모습 길신이 좋은거야
- dc official App",,,,,,
2959868,래퍼 양홍원 얘는 사주가 좋은거임? 아니면,ㅇㅇ(223.38),2022-11-04,1264.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2959868&search_pos=-2950386&s_type=search_subject_memo&s_keyword=사주&page=17,"지금 용신대운인거임?
논란 있어도 재능이 개쩔어서 그런가
팬 많더라
인스타 보면 여자팬도 많음
앨범 기다리는 사람도 많고",,,,,,
2026079,가족 암이 초기면 별 생각 안 듬,ㅇㅇ(115.22),2022-06-15,183.0,9.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2026079&search_pos=-2020386&s_type=search_subject_memo&s_keyword=사주&page=9,"가족 중에 암환자 2명 있었는데 울 엄마가 대장암 초기 판정 받았음
운 좋게 수술만 하면 되는 케이스였고 방사선 치료도 필요 없는 단계 없지
그래서 엄마는 솔직히 걱정 안 했고 어제 서울 병원가서 5년 졸업장 받고 왔다
엄마는 엄마 수술한 교수님한테 대장내시경 받았으면 수술은 안 했을 거라고 엄마 수술한 교수님이 말할 정도로 혹시나 해서 수술한 케이스 였거든
근데 큰이모부가 말기 혈액암이었는데 이때는 많이 슬펐다
날 조카 중에서 젤 많이 예뻐해준 분이신데 한 1년 고생하시다가 갔다
초년 중년 고생하다가 이제 말년에 손주들 보고 좋아할 때 였는데 가셔서 이때 참 사람 팔자 이렇게 태어나기도 힘든데 생각했음
사주 모를 때 였는데도 불구하고 참 안타까웠어
한 평생 고생만 하시다가 가서 참 불쌍했지ㅠㅠ
세상은 왜 착한 사람 먼저 데리고 가는지 의문도 있었고
- dc official App",,,,,,
14164568,사주좀,aa(180.80),2020-07-08,29.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=14164568&search_pos=-14125549&s_type=search_subject_memo&s_keyword=사주&page=12,"아인슈타인 에너지등가성 E=mc^2에서의 에너지가
뉴턴역학 역학적 에너지 보존에 적용됨?
​
- dc official App",,,,,,
8848008,비견-편관 대운으로 바뀌고 올해 세운도 비견-상관인데,역갤러(219.255),2025-05-11,151.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8848008&search_pos=-8800386&s_type=search_subject_memo&s_keyword=사주&page=14,"내 성격 뭔가 갑자기 빡세지고 싸움닭 되어버린 것 같음...
전에는 그냥 부모님 하라는 대로 네에네에 하면서 고분고분하게 있었는데 이제는 통금도 깨부수고 독립까지 생각 중임
뭔가 옭아매는 거 다 부숴버리고 나가겠다는 생각
본인 사주
시 일 월 년
갑 을 무 경
신 묘 자 진
난 여자임
근데 사주에서 보일진 모르겠는데 특히 아빠가 집안에서 보수적이고 좀 고리타분하심
20대 중반인데도 아직 통금 10시에다가 남자친구 사귀는 것도 싫어함 ㅋㅋ..
엄마는 그래도 괜찮으신데 아빠 때문에 뒤에서 독립 준비하는 중
그리고 올해 시작하자마자 안 하던 운동 빡세게 헬스장에서 시작함
3대 120 달성하고 지금도 중량 더 올려치는 중",,,,,,
1315015,이재명 안철수 둘다 억부용신 망가지는데,ㅇㅇ(182.231),2022-02-25,363.0,8.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1315015&search_pos=-1310386&s_type=search_subject_memo&s_keyword=사주&page=5,"둘다 을목 신강 사주잖아
그러면 억부로 앞으로 몇년간 수목들어오는데
많이 안좋음
윤석열은 목기운이 나쁘지않음
일단 윤석열 사주 단점이 수기운 상관이 존나 강해서
그거 수생목 하면서 빼내주고 목생화 하면서
화(관성)을 생해주기때문에 좋음
이재명은 인성과 비겁운이어서 신강사주인데 안좋음
움직이는 운이 아니야",,,,,,
17002934,수목용신인데 이제 역갤 안들어오고 싶다,ㅇㅇ(211.245),2021-07-23,251.0,13.0,https://gall.dcinside.com/board/view/?id=divination&no=17002934&search_pos=-16955549&s_type=search_subject_memo&s_keyword=사주&page=13,"더이상 여기서 부정적인 기운 받기도 싫고.
사주 공부하고 싶음 여기 글 보느니
유튜브나 블로그글 또는 책 찾아보는 게 낫고
그래도 수목용신 서치하면 보이는
다들 제각각 힘들어하면 응원해주고
어떤 지 공유하고 그런 게 좋아서 들어왔는데
자주 안들어오고 진짜 가끔 변화있거나
수목용신들 안부 볼겸 올게
2022년 2월 18일까지 잘 버텨보자
수목용신은 나야 중심이가돼
애들아 힘내고
난 요가 명상 열심히 해보면서 나를 찾아가보려고
신기하게도 22일 이후 진짜 분위기가 바뀐 느낌
잘살아보자 너무 애쓰진말고 쉬어가면서
힘들어도 작은 행복을 찾아보며 삶을 놓지말자 안녕",,,,,,
14784122,월지충 궁합 ㅂㄹ임?,ㅇㅇ(39.7),2020-09-26,844.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=14784122&search_pos=-14745549&s_type=search_subject_memo&s_keyword=궁합&page=1,어떰,,,,,,
4325619,년지랑 시지에 도화 홍염 다 있는데 통변해주세요,ㅇㅇ(223.38),2023-06-05,140.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4325619&search_pos=-4310386&s_type=search_subject_memo&s_keyword=사주&page=23,"제 사주 어때요
- dc official App",,,,,,
5051669,트위치 방송 보는 시청자들이 위험한이유 친일파들 막아야합니다,ㅇㅇ,2023-10-15,1705.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5051669&search_pos=-5032492&s_type=search_subject_memo&s_keyword=타로&page=1,"트위치 방송 보는 시청자들이 위험한이유 친일파들 막아야합니다
위짤은 트위치방송을 얘기하는 스트리머 갤에서 광복절날 추천 몇백개를 받으면 올라온 글입니다
저런인간들이 매일 스트리머 방송에서 JPOP 등 일본문화를 영상도네이션이나 채팅을 치며 홍보하며
한국관련문화는 깎아내리고 탄압하고있습니다 이건 우습게 볼 문제가 아닙니다 지금 대한민국은
친일파 매국노들한테 점령당했습니다 서현역 난동사건 범인도 평소에 커뮤니티사이트에서 친일관련
글을 쓰는 사람이었습니다 저런인간들이 정도가 심해지면 그렇게 되는겁니다 지금 우리는 다시 한번
일본의 식민지가 될려고 하고있습니다 이런식이라면 계속 한국은 무시하고 일본에 돈가져다 바치고
한국인재들도 계속 유출되면서 저출산도 심해지고 내수경제 한국문화 기반도 약해질 것 입니다
이건 이미 실제로 한국이 겪었던 일이고 지금도 다시 상당수 진행되고있습니다 우리가 지켜야합니다
인터넷방송통신심의위원회정연주트위치코리아twitch아프리카tvafreecatv서수길정찬용스트리머BJMCN다이아TVSANDBOX샌드박스웹툰만화애니메이션드라마영화예능오락다큐작가PD
카카오KAKAO네이버웹툰김준구NAVER감독여론언론렉카기자기사ENA문화전통태권도택견국악EBSSBSKBSMBC광고편성윤희웅JTBC박찬식TVN흥기성MNET엠넷신준범OCNMBN매일경제
TV조선YTNSPOTV스포티비에이클라엔터테인먼트한국콘텐츠진흥원KOCCA한국만화영상진흥원KOMACON어트랙트기획사취미미용SM우오현HYBE하이브방시혁JYP박진영양현석YGCUBE
큐브조선일보동아일보국민일보한국일보중앙일보연합뉴스가생이닷컴텐아시아한국언론진흥재단KPF표완수매체한겨례뉴시스라디오데일리안오마이뉴스마이데일리디스패치엑스포츠뉴스
OTT키즈맘시사넷플릭스디즈니티빙TVINGWAVVENETFLIX풋볼리스트포모스포포투스포탈코리아골닷컴MHN댄스발라드CGV홍보케이팝KPOP아이돌배우모델연극뮤지컬아나운서성우영상
제작작품르네상스실용음악음반멜론차트구글애플SNS작곡싱어송라이터힙합락인디디지털컨텐츠소설프로그램보컬밴드OST콘서트축제행사엑스포Expo해외코미디공연가수믹싱나무엑터스
스타쉽starship울림woollim플레디스pledis매니지먼트숲에이전트uaatheblacklabelmldpnationrbwIHQkozfncbhCJ프로듀서이담젤리피쉬위에화아역인재예체능그림미술민희진예술노래
다양성창의성아이디어커뮤니티SNS유튜브YOUTUBE트위터TWITTER인스타그램틱톡페이스북펨코뽐뿌클리앙디시인사이드FMKOREAMLBPARK엠팍인벤INVEN모바일게임루리웹웃대더쿠
인스티즈해연갤82쿡인플루언서일베여시메갈폐미여성시대네이트판SLR흥차넷쭉빵레몬테라스파우더룸도탁스오유브금바닥맘스홀릭비주얼학교블로그까페마케팅네트워크관객관중팬영재
정치사회주식코인부동산산업여행인구출산율내수지방지역경제농업수산근로국민의힘더불어민주당행정문체부문화체육관광부박보균이원석검찰청한동훈법무부윤희근경찰청환경부한화진
국방부이종섭이기식병무청외교부박진군대육군공익해군해병대공군추경호기획재정부게스트하우스호텔민박한국관광공사KTO김장실대한체육회이기흥보안안보국정원국가정보원김규현렉카
교육부이주호경기도교육청임태희윤석열한덕수오세훈추미애나경원하태경안철수이재명김기현박광온심상정유승민고민정용혜인기본소득당홍준표이준석윤재옥유시민전원책커뮤SAMSUNG
삼성이재용SK최태원현대정의선HYUNDAI신한농협하나은행모두투어호텔스닷컴여기어때LG엘지구광모쿠팡COOPANG포스코롯데LOTTE신동빈한화김승연GS신세계이명희SSGKT인터파크
네이버NAVER이해진카카오김범수홍은택CJ이재현한진LSLHGH두산DLHMM현대백화점부영미래에셋S-OIL하림금호아시아나대한항공영풍HDC효성셀트리온호반건설KCC대우조선해양OCI
코오롱태영물류넷마블넥슨LX이랜드한국타이어앤테크놀로지한국전력DB삼천리금호석유화학캠핑키움태광교보생명동원오뚜기농심항공우주대방두나무아모레퍼시픽화장품에코프로에너지
소재애경동국제강엠디엠컨설팅마케팅개발창의력아이디어크래프톤DN하이트진로유진삼표프렌차이즈BGF편의점시장관광지자원휴양지바다산계곡자격증이종호과학기술정보통신부투자금융
중소기업재테크수입수출수익영업이익서울강남홍대이태원잠실종로SM감성양평가평날씨남양주하남이천다산육아인천수원일산분당김포용인구리포천여주경기강원양양강릉삼척태백춘천
영월서해동해원주평창인제속초충청대전충주단양천안공주부평부여논산개혁당진태안청주남원정읍까페고창전주군산익산무주순천광양목포구례여수해남곡성진도목포영광나주문경상주제작
칠곡김천경주남해통영밀양울산대구자연식물반려동물자동차전자제품반도체아파트단독주택주거생활라이프공장부산아기결혼혼혈귀화유학이민NC유치원학교국적심의위원회문화재제주도
브랜드MZ명품한전한국전력음식여론언론유머한글구미한식KPOP대기업임신옥션토익필라FILA무신사SNS코스피코스닥패션커플인터넷유산어린이청소년학생드라마영화스포츠웹툰게임사람
제이팝JPOP일본드라마일본영화친일애니메이션일본음악오덕후마루타방사능위안부후쿠오카오염수오타니사사키쿠보도쿄오사카오키나와교토나고야아키하바라이자카야자동차일본여행
맥주일본만화마나토끼아이묭귀멸의칼날최애의아이원피스킹덤체인소맨주술회전내마위헌터X헌터하이큐원펀맨바키블루락코난짱구진격의거인스즈메의문단속드래곤볼나루토일뽕매국
다이아몬드에이스J리그NPB미토마원정녀미나미노클럽헌팅다나카주토마요토미야스레몬LEMON요즈네켄시마나토끼야쿠자imase이마세이상형월드컵용과같이몬헌오마카세방사능호스트
YOASOBI철권내수차별요아소비스트리트파이터브로커재일교포혼다라쿠텐소니탕후루스시일본어일어독립운동가광복절서현역사쿠란보야스오엔도와타루온천시바견삿포로닌자사무라이
혐한자이니치픽시브PIXIV무사시다케시마대마도독도욱일기야마하후우오카YAMAHA라인NHKLINE왜구식민지닌텐도플스코스프레침략일제강점기
영도합방크루여캠여겜비인플루언서
도요토미히데요시큐슈ABC마트AV유니클로큐슈겐진후쿠시마켄타로와규일식요코하마도요타히로시마TOYOTA플레이스테이션도네이션야킹야방이슈MZ역학역사",,,,,,
13771719,중화사주에 비겁대운 들어오면,ㅇㅇ(110.70),2020-05-19,241.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13771719&search_pos=-13735549&s_type=search_subject_memo&s_keyword=사주&page=14,"영향있음?
신약은 비겁대운 들어오면 좋다던데",,,,,,
4620468,이거 용신이 없는 사주라는데 맞음??,병인(218.153),2023-07-24,184.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4620468&search_pos=-4600386&s_type=search_subject_memo&s_keyword=사주&page=11,"용신이 왜 없는겅ㅁ
수용신 아냐? 겨울생이라 수는 아니려나
용신 없으면 대운세운 어떻게 봄....",,,,,,
13485924,억부 존아 1도 안맞음 억부는 걍 버려야함,"-.,-",2020-04-14,24.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13485924&search_pos=-13445549&s_type=search_subject_memo&s_keyword=사주&page=2,걍 사주는 편견없아 봐야함,,,,,,
13733510,사주봐준다 처얼려라,ㅇㅇ,2020-05-15,82.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13733510&search_pos=-13695549&s_type=search_subject_memo&s_keyword=사주&page=10,- dc official App,,,,,,
3095762,그냥 나가서 밥사주는 놈이 최고임,돼지토끼(돼토)0ㅅ0,2022-11-24,39.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3095762&search_pos=-3080386&s_type=search_subject_memo&s_keyword=사주&page=5,ㅇㅇ,,,,,,
266629,사주좀 봐주세요,쭐어콘쓰려고만듬,2021-10-10,44.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=266629&search_pos=-270386&s_type=search_subject_memo&s_keyword=사주&page=13,ㅇ,,,,,,
15221680,김수미는 사주가 뭐길래 절케 젊게 잘노냠?,ㅇㅇ(211.36),2020-11-23,170.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15221680&search_pos=-15185549&s_type=search_subject_memo&s_keyword=사주&page=15,??,,,,,,
5433396,니 내 사주보고 다가온거잖아 븅신아,역갤러(39.7),2023-12-16,20.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5433396&search_pos=-5410386&s_type=search_subject_memo&s_keyword=사주&page=20,"니가 만약에 진짜 나를 만날 생각이엇다면 14년도에 나타낫어야 돼 븅신아
훠이훠이
월 1억
성매매 허용
대리모출산 혹은 안해도 돼",,,,,,
16054194,상남자인척 하는 것도 기토남,히힝(49.175),2021-03-15,246.0,8.0,https://gall.dcinside.com/board/view/?id=divination&no=16054194&search_pos=-16005549&s_type=search_subject_memo&s_keyword=사주&page=3,"많이봄 ㅋㅋ
을목 두개 뜬 기토가 자기 강한 남자랫는데
사주 열어보고 큰웃음 ㅋㅋㅋㅋ
- dc official App",,,,,,
16500632,타로점 리딩교환하실분,ㅁㄹ(39.7),2021-05-19,41.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=16500632&search_pos=-16455549&s_type=search_subject_memo&s_keyword=타로&page=2,ᆢ,,,,,,
2909667,제일 불쌍한 여자 사주는 모ㅓㄹ까,ㅇ(106.101),2022-10-27,43.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2909667&search_pos=-2900386&s_type=search_subject_memo&s_keyword=사주&page=14,나인것같앗ㅠ,,,,,,
15863562,도대체 신점볼때 생년월일 묻는 이유가 뭐지,ㅇㅇ(117.111),2021-02-16,227.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=15863562&search_pos=-15815549&s_type=search_subject_memo&s_keyword=신점&page=1,"띠로 보더라 어이가없어서 ㅋㅋ이제 삼재 나간다느니
그런건 나도 보고요?
일주로도 보던데 :;;;;;
그럴거면 사주보지 누가 신점봐
세군데가봣는데 세군데 다 저랬어 신점 다 개구라인듯
- dc official App",,,,,,
2002231,늅 율모기였을 때 사주는 어캐됨? 늅일때는 신해일주라 들었는데,ㅇㅇ(118.235),2022-06-12,80.0,4.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2002231&search_pos=-2000386&s_type=search_subject_memo&s_keyword=사주&page=15,.,,,,,,
10512217,(탈갤문)참 부끄러운 갤질을 해왔습니다,ㅇㅇ(39.7),2019-04-25,43.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10512217&search_pos=-10475549&s_type=search_subject_memo&s_keyword=사주&page=1,"저는 디씨인의 삶이라는 걸 도무지 알지
못하겠습니다. 변방 갤러리에서 시작한 터라
역갤을 처음 안 건 제법 폐인이 된 후 부터 였습니다.
개념글을 줄곧 읽어왔으면서도 사주는 모른채
순전히 역갤을 야갤처럼 복잡하고 재미나게, 인생을
즐길려고 하는건줄 알았습니다.
그것도 꽤 오랫동안 그렇게 해왔습니다.
역갤을 들락날락하는 일이 제게는 퍽이나 세련된
오락거리라 디씨 갤러리중에 가장 감각 있는 갤러리
중 하나라 생각했는데, 한참 뒤 그건 어디까지나
역갤러들의 단식 판단을 위해 만든 지극히
편향적이고 염세적인 갤러리일 뿐이라는 사실을
알고 순식간에 흥미를 잃었습니다.
​",,,,,,
10463097,나 합많은사람하고 썸탈때 맨날 타로보고,ㅇㅇ(223.38),2019-04-18,98.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=10463097&search_pos=-10435549&s_type=search_subject_memo&s_keyword=타로&page=1,"떨어져있으면 좋은데 대화 하면 또 안맞고 식고
진지하게 만나볼 타이밍에 망설여지게되고
그랬는데 알고보니 궁합이 구렸다더라
합 1개 들던 그전남친은 둘이 비슷하다 잘맞네 결혼은 아니다 소린 들었는데
궁합에서 대체 어떤걸 보는지 감이 안잡혀",,,,,,
4417564,사주평ㄷ가점,퐁이,2023-06-20,92.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4417564&search_pos=-4400386&s_type=search_subject_memo&s_keyword=사주&page=16,- dc official App,,,,,,
13913688,☆ 주식천재 사주보고가 ☆,기토파이리(58.78),2020-06-06,117.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13913688&search_pos=-13875549&s_type=search_subject_memo&s_keyword=사주&page=11,"기신운 30년이 끝나고
주식과 부동산으로 재벌되는 60년이 남아있어",,,,,,
6301804,사주 볼때마다 말이 다 다르니까 괜히 혼란스럽기만하다,역갤러(12.74),2024-04-26,33.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6301804&search_pos=-6270386&s_type=search_subject_memo&s_keyword=사주&page=9,"다 용신도 다르게 잡고
잘 본다고들해서 봐도 다 말이 다름 으휴 사주같은거 처음부터 보는게 아니었어",,,,,,
12411992,유튜브 역술가가 아이유인 거 모른채로 사주보고 유명인인 거 맞추던데,ㅇㅇ(110.12),2019-12-10,444.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12411992&search_pos=-12375549&s_type=search_subject_memo&s_keyword=사주&page=8,주작잏까 아닐까 아니면 신기하다 사주 딱 보자마자 그런게 보인다는게,,,,,,
4378383,나 도화강한 사주임?,ㅇㅇ(223.62),2023-06-13,122.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4378383&search_pos=-4360386&s_type=search_subject_memo&s_keyword=사주&page=11,- dc official App,,,,,,
9828924,휴휴가 예수 변호사 시험 합격비라고 받은 짤이 구라인 이유,ㅇㅇ(119.192),2019-01-21,139.0,9.0,https://gall.dcinside.com/board/view/?id=divination&no=9828924&search_pos=-9795549&s_type=search_subject_memo&s_keyword=사주&page=4,"휴휴에게  두 번 사주 상담 받고 준 통변비로  (치킨 1회,  맥도날드1회,  둘 다  대략 2만원선)
이걸로 휴휴는 예수가 합격 해서 자기에게 합격비로 주었다고 하는데,
해당 인증 짤 만 보고는 예수가 준 건지, 좃수가 준 건지 구분도 안 될 뿐더러,
짤에는 변호사 시험 합격 했다는  말 한마디가 없다.
예수가 정말로 합격 했으면 예수 성질에 당장 역갤에 인증한다.
이런 주작으로 감히 사람들 속이려 들어?
너 이런 식으로 할머니 신내림 받았다고 속이고 다른 사람 신당 자기 것처럼 가져오고,
각종 자잘한 거짓말 한 거,  너 보면 볼 수록 구려.
국세청에 세금 안내고, 역갤 한귀퉁이에서 에서 장사 하는 거, 지금까지는 불쌍해서 모른 척 했거든.
앞으로도 불쌍해서 너 역갤에 장사 하든 말든  상관은 안하겠지만. 제발 양심적으로 살아라. 이 인간아.",,,,,,
8858472,김숙 사주 41대운(2015년)부터 생긴일,ㅇㅇ(1.233),2025-05-13,297.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8858472&search_pos=-8810386&s_type=search_subject_memo&s_keyword=사주&page=16,"님과 함께와 함께 김숙의 전성기를 다시 연 프로그램은 선배이자 절친인
송은이
와 함께 만든 팟캐스트
송은이 김숙의 비밀보장
이다. 데뷔 20년을 넘은 김숙도 출연할 곳이 없는 것은 마찬가지였다.
[19]
그때 김숙과 송은이는
팟캐스트
와
유튜브
라는 인터넷 미디어로 대중을 만나기 위해 활로를 바꿨고,
1세대 연예인 유튜브/팟캐스트의 시작
이라고 봐도 무방했다. 2015년 4월 송은이와 함께 사재를 털어 만든 팟캐스트는 시작과 동시에 큰 인기를 누린다. 그 해 11월에는 팟캐스트 포맷 그대로 SBS 러브FM ‘송은이, 김숙의 언니네 라디오’로 지상파 라디오에 진출하기에 이른다. 시대가 바뀌면서 티비에서 더 직설적이고 통통 튀는, 소위 독한 여성 예능인을 선호하게 되었다. 더불어 여성 시청층의 우호도도 높았다.
언니들의 슬램덩크
,
비디오 스타
,
뜨거운 사이다
같은 여성 프로그램 등에 섭외가 늘어난 것이 이러한 증거이다. 과거 고정 프로그램이 많지 않은 것에 대해 '본인이 부담없는 B급 게스트 위치를 선호해서'라는 추측이 있었는데, 님과 함께로 인기를 얻자마자 고정 프로가 급증한 것으로 보아 그동안 본인이 원해서가 아닌, 마땅한 프로그램이 없어서 고정 프로가 없던 것으로 추측된다.
최근 예능의 트렌드에 김숙의 독특한 캐릭터가 맞아떨어지자 고정 프로만 8개를 꿰차고 활발하게 활동
중이다.
그리고 이러한 인기의 결과로
2016년
백상예술대상
에서 TV 부문 여자 예능상
을 받았다.
[21]
이후 2019년
MBC 방송연예대상
에
데뷔 25년 만에
참석하여 '구해줘! 홈즈'로 최우수상을 받았으며, 2020년
KBS 연예대상
에서는 이경규를 제치고
대상을 수상
했다.",,,,,,
3402166,"사주좀 봐주세요 수험생임,,,",ㅇㅇ(211.243),2023-01-06,52.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3402166&search_pos=-3390386&s_type=search_subject_memo&s_keyword=사주&page=16,5년 공부함,,,,,,
